name,city,state,location_type,job_title,source_name,year,ad_id,city_state,lon,lat,ma_popup
Goldthwait P,Worcester,MA,NA,Dressmaker,Worcester City Directory,1844,Worcester1844,"Worcester, MA",-71.8022946243632,42.26259381294438,"<b> Goldthwait P </b> <br> 1844 <br> Dressmaker <br> Worcester, MA <br> Worcester City Directory"
Persis Goldthwait,Worcester,MA,NA,Dressmaker,Worcester City Directory,1844,Worcester1844,"Worcester, MA",-71.80229713877297,42.262592404304286,"<b> Persis Goldthwait </b> <br> 1844 <br> Dressmaker <br> Worcester, MA <br> Worcester City Directory"
Sarah R. Parmenter,Worcester,MA,NA,Dressmaker,Worcester City Directory,1844,Worcester1844,"Worcester, MA",-71.80228789819581,42.26259229469795,"<b> Sarah R. Parmenter </b> <br> 1844 <br> Dressmaker <br> Worcester, MA <br> Worcester City Directory"
Susan Richards,Worcester,MA,NA,Dressmaker,Worcester City Directory,1844,Worcester1844,"Worcester, MA",-71.80229266213269,42.262593981133996,"<b> Susan Richards </b> <br> 1844 <br> Dressmaker <br> Worcester, MA <br> Worcester City Directory"
Clarissa Corey,Worcester,MA,NA,Tailoress,Worcester City Directory,1844,Worcester1844,"Worcester, MA",-71.80228835033913,42.26259282559518,"<b> Clarissa Corey </b> <br> 1844 <br> Tailoress <br> Worcester, MA <br> Worcester City Directory"
Lucy R. Pease,Worcester,MA,NA,Tailoress,Worcester City Directory,1844,Worcester1844,"Worcester, MA",-71.80229501718033,42.26259407890281,"<b> Lucy R. Pease </b> <br> 1844 <br> Tailoress <br> Worcester, MA <br> Worcester City Directory"
Mercy Goldthwait,Worcester,MA,NA,Tailoress,Worcester City Directory,1844,Worcester1844,"Worcester, MA",-71.8022898942367,42.26259341395931,"<b> Mercy Goldthwait </b> <br> 1844 <br> Tailoress <br> Worcester, MA <br> Worcester City Directory"
Sarah Geer,Worcester,MA,NA,Tailoress,Worcester City Directory,1844,Worcester1844,"Worcester, MA",-71.80229504571146,42.26259303304213,"<b> Sarah Geer </b> <br> 1844 <br> Tailoress <br> Worcester, MA <br> Worcester City Directory"
Sophronia Willard,Worcester,MA,Boarding house,Dressmaker,Worcester City Directory,1844,Worcester1844,"Worcester, MA",-71.80229851665587,42.262593697323005,"<b> Sophronia Willard </b> <br> 1844 <br> Dressmaker <br> Worcester, MA <br> Worcester City Directory"
C. Hubbard,Lowell,MA,Room over a store,NA,Lowell Mercury,1833,Hubbard,"Lowell, MA",-71.31617255121837,42.633424537268006,"<b> C. Hubbard </b> <br> 1833 <br> NA <br> Lowell, MA <br> Lowell Mercury"
NA,Lowell,MA,Store,NA,Lowell Observer,1833,Lowell2,"Lowell, MA",-71.31617543715174,42.63342513627154,"<b> NA </b> <br> 1833 <br> NA <br> Lowell, MA <br> Lowell Observer"
NA,Lowell,MA,Store,NA,Lowell Observer,1833,Lowell3,"Lowell, MA",-71.31617010165229,42.633425446768875,"<b> NA </b> <br> 1833 <br> NA <br> Lowell, MA <br> Lowell Observer"
C. Mears,Lowell,MA,Store,NA,Lowell Journal,1836,Mears,"Lowell, MA",-71.31617019773613,42.63342527109118,"<b> C. Mears </b> <br> 1836 <br> NA <br> Lowell, MA <br> Lowell Journal"
NA,Lowell,MA,Store,NA,Lowell Courier,1836,Lowell1,"Lowell, MA",-71.31617642131278,42.633425148933554,"<b> NA </b> <br> 1836 <br> NA <br> Lowell, MA <br> Lowell Courier"
Samuel A. Hudson; A.M. Merrick,Sturbridge,MA,Store,Tailor,Massachusetts Spy,1837,Hudson/Merrick,"Sturbridge, MA",-72.07870563853187,42.10841316292891,"<b> Samuel A. Hudson; A.M. Merrick </b> <br> 1837 <br> Tailor <br> Sturbridge, MA <br> Massachusetts Spy"
Henry C. Gillis,Lowell,MA,Store,NA,Lowell Courier,1838,Gillis,"Lowell, MA",-71.31617185338416,42.63342557444389,"<b> Henry C. Gillis </b> <br> 1838 <br> NA <br> Lowell, MA <br> Lowell Courier"
H.A. Woods,Groton,MA,Store,NA,Railroad Mercury,1854,Woods,"Groton, MA",-71.57451997091451,42.61120262156159,"<b> H.A. Woods </b> <br> 1854 <br> NA <br> Groton, MA <br> Railroad Mercury"
G.W. Shattuck,Groton,MA,Store,NA,Railroad Mercury,1859,Shattuck,"Groton, MA",-71.57451527067836,42.61120222255059,"<b> G.W. Shattuck </b> <br> 1859 <br> NA <br> Groton, MA <br> Railroad Mercury"
S. Hammond,Greenfield,MA,NA,Tailor; milliner; mantuamaker,NA,1824,Hammond,"Greenfield, MA",-72.59941473792645,42.58791429690632,"<b> S. Hammond </b> <br> 1824 <br> Tailor; milliner; mantuamaker <br> Greenfield, MA <br> NA"
Saraphinia P. Young,Athol,MA,NA,Milliner; dressmaker,NA,1828,Young,"Athol, MA",-72.22674276213819,42.59593230188832,"<b> Saraphinia P. Young </b> <br> 1828 <br> Milliner; dressmaker <br> Athol, MA <br> NA"
Mary Ann Foster,Barre,MA,NA,Milliner; dressmaker,NA,1836,NA,"Barre, MA",-72.10510611712046,42.422904096418456,"<b> Mary Ann Foster </b> <br> 1836 <br> Milliner; dressmaker <br> Barre, MA <br> NA"
Mehitable French,Templeton,MA,NA,Tailoress,NA,1844,NA,"Templeton, MA",-72.06757970630635,42.55564433748795,"<b> Mehitable French </b> <br> 1844 <br> Tailoress <br> Templeton, MA <br> NA"
